time,electricity,temperature
2019/01/01 00:00:00,1.951,9.867
2019/01/01 01:00:00,0,7.323
2019/01/01 02:00:00,0,6.386
2019/01/01 03:00:00,0,5.633
2019/01/01 04:00:00,0,5.122
2019/01/01 05:00:00,0,4.771
2019/01/01 06:00:00,0,4.476
2019/01/01 07:00:00,0,4.2
2019/01/01 08:00:00,0,3.853
2019/01/01 09:00:00,0,3.434
2019/01/01 10:00:00,0,3.128
2019/01/01 11:00:00,0,3.151
2019/01/01 12:00:00,0,2.952
2019/01/01 13:00:00,0,2.755
2019/01/01 14:00:00,0,2.527
2019/01/01 15:00:00,3.725,3.467
2019/01/01 16:00:00,9.061,6.098
2019/01/01 17:00:00,12.717,8.556
2019/01/01 18:00:00,14.88,10.212
2019/01/01 19:00:00,15.821,11.162
2019/01/01 20:00:00,15.605,11.618
2019/01/01 21:00:00,14.206,11.732
2019/01/01 22:00:00,11.517,11.606
2019/01/01 23:00:00,7.306,10.956
2019/01/02 00:00:00,2.06,8.119
2019/01/02 01:00:00,0,5.805
2019/01/02 02:00:00,0,4.952
2019/01/02 03:00:00,0,4.33
2019/01/02 04:00:00,0,4.429
2019/01/02 05:00:00,0,4.442
2019/01/02 06:00:00,0,4.516
2019/01/02 07:00:00,0,4.658
2019/01/02 08:00:00,0,4.694
2019/01/02 09:00:00,0,4.702
2019/01/02 10:00:00,0,4.548
2019/01/02 11:00:00,0,4.278
2019/01/02 12:00:00,0,4.135
2019/01/02 13:00:00,0,4.11
2019/01/02 14:00:00,0,4.183
2019/01/02 15:00:00,3.457,5.208
2019/01/02 16:00:00,8.566,8.489
2019/01/02 17:00:00,12.132,10.871
2019/01/02 18:00:00,14.237,12.613
2019/01/02 19:00:00,15.132,13.957
2019/01/02 20:00:00,14.894,14.896
2019/01/02 21:00:00,13.5,15.276
2019/01/02 22:00:00,10.865,14.994
2019/01/02 23:00:00,6.726,13.887
2019/01/03 00:00:00,1.821,11.029
2019/01/03 01:00:00,0,9.249
2019/01/03 02:00:00,0,8.333
2019/01/03 03:00:00,0,7.829
2019/01/03 04:00:00,0,7.399
2019/01/03 05:00:00,0,6.782
2019/01/03 06:00:00,0,6.069
2019/01/03 07:00:00,0,5.454
2019/01/03 08:00:00,0,4.992
2019/01/03 09:00:00,0,4.711
2019/01/03 10:00:00,0,4.495
2019/01/03 11:00:00,0,4.31
2019/01/03 12:00:00,0,4.22
2019/01/03 13:00:00,0,4.169
2019/01/03 14:00:00,0,4.124
2019/01/03 15:00:00,3.382,5.453
2019/01/03 16:00:00,8.673,8.906
2019/01/03 17:00:00,12.227,11.773
2019/01/03 18:00:00,14.311,14.363
2019/01/03 19:00:00,15.185,15.771
2019/01/03 20:00:00,14.936,16.55
2019/01/03 21:00:00,13.568,16.924
2019/01/03 22:00:00,10.954,16.868
2019/01/03 23:00:00,6.881,15.824
