time,electricity,irradiance_direct,irradiance_diffuse,temperature
2019/01/01 00:00:00,0.585,0.103,0.017,9.867
2019/01/01 01:00:00,0,0,0,7.323
2019/01/01 02:00:00,0,0,0,6.386
2019/01/01 03:00:00,0,0,0,5.633
2019/01/01 04:00:00,0,0,0,5.122
2019/01/01 05:00:00,0,0,0,4.771
2019/01/01 06:00:00,0,0,0,4.476
2019/01/01 07:00:00,0,0,0,4.2
2019/01/01 08:00:00,0,0,0,3.853
2019/01/01 09:00:00,0,0,0,3.434
2019/01/01 10:00:00,0,0,0,3.128
2019/01/01 11:00:00,0,0,0,3.151
2019/01/01 12:00:00,0,0,0,2.952
2019/01/01 13:00:00,0,0,0,2.755
2019/01/01 14:00:00,0,0,0,2.527
2019/01/01 15:00:00,1.118,0.172,0.036,3.467
2019/01/01 16:00:00,2.718,0.431,0.073,6.098
2019/01/01 17:00:00,3.815,0.646,0.092,8.556
2019/01/01 18:00:00,4.464,0.789,0.104,10.212
2019/01/01 19:00:00,4.746,0.857,0.11,11.162
2019/01/01 20:00:00,4.681,0.843,0.111,11.618
2019/01/01 21:00:00,4.262,0.748,0.105,11.732
2019/01/01 22:00:00,3.455,0.579,0.092,11.606
2019/01/01 23:00:00,2.192,0.343,0.071,10.956
2019/01/02 00:00:00,0.618,0.108,0.017,8.119
2019/01/02 01:00:00,0,0,0,5.805
2019/01/02 02:00:00,0,0,0,4.952
2019/01/02 03:00:00,0,0,0,4.33
2019/01/02 04:00:00,0,0,0,4.429
2019/01/02 05:00:00,0,0,0,4.442
2019/01/02 06:00:00,0,0,0,4.516
2019/01/02 07:00:00,0,0,0,4.658
2019/01/02 08:00:00,0,0,0,4.694
2019/01/02 09:00:00,0,0,0,4.702
2019/01/02 10:00:00,0,0,0,4.548
2019/01/02 11:00:00,0,0,0,4.278
2019/01/02 12:00:00,0,0,0,4.135
2019/01/02 13:00:00,0,0,0,4.11
2019/01/02 14:00:00,0,0,0,4.183
2019/01/02 15:00:00,1.037,0.158,0.038,5.208
2019/01/02 16:00:00,2.57,0.402,0.079,8.489
2019/01/02 17:00:00,3.639,0.608,0.101,10.871
2019/01/02 18:00:00,4.271,0.745,0.115,12.613
2019/01/02 19:00:00,4.54,0.81,0.122,13.957
2019/01/02 20:00:00,4.468,0.798,0.122,14.896
2019/01/02 21:00:00,4.05,0.705,0.115,15.276
2019/01/02 22:00:00,3.259,0.54,0.101,14.994
2019/01/02 23:00:00,2.018,0.309,0.077,13.887
2019/01/03 00:00:00,0.546,0.096,0.018,11.029
2019/01/03 01:00:00,0,0,0,9.249
2019/01/03 02:00:00,0,0,0,8.333
2019/01/03 03:00:00,0,0,0,7.829
2019/01/03 04:00:00,0,0,0,7.399
2019/01/03 05:00:00,0,0,0,6.782
2019/01/03 06:00:00,0,0,0,6.069
2019/01/03 07:00:00,0,0,0,5.454
