time,electricity,irradiance_direct,irradiance_diffuse,temperature
2013/01/01 00:00:00,2.872,0.794,0.167,29.316
2013/01/01 01:00:00,3.086,0.891,0.175,31.376
2013/01/01 02:00:00,3.127,0.917,0.178,32.812
2013/01/01 03:00:00,2.999,0.868,0.176,33.744
2013/01/01 04:00:00,2.704,0.753,0.168,34.124
2013/01/01 05:00:00,2.234,0.579,0.156,33.922
2013/01/01 06:00:00,1.6,0.369,0.139,33.151
2013/01/01 07:00:00,0.861,0.157,0.114,31.778
2013/01/01 08:00:00,0.209,0,0.077,29.68
2013/01/01 09:00:00,0.011,0,0.011,26.67
2013/01/01 10:00:00,0,0,0,23.759
2013/01/01 11:00:00,0,0,0,20.975
2013/01/01 12:00:00,0,0,0,18.748
2013/01/01 13:00:00,0,0,0,17.235
2013/01/01 14:00:00,0,0,0,16.203
2013/01/01 15:00:00,0,0,0,15.461
2013/01/01 16:00:00,0,0,0,14.877
2013/01/01 17:00:00,0,0,0,14.225
2013/01/01 18:00:00,0,0,0,13.528
2013/01/01 19:00:00,0.045,0,0.023,13.24
2013/01/01 20:00:00,0.333,0.017,0.09,14.4
2013/01/01 21:00:00,1.117,0.206,0.119,16.343
2013/01/01 22:00:00,1.912,0.432,0.137,18.763
2013/01/01 23:00:00,2.518,0.626,0.158,21.362
2013/01/02 00:00:00,2.876,0.741,0.189,23.835
2013/01/02 01:00:00,2.844,0.666,0.262,25.692
2013/01/02 02:00:00,2.845,0.661,0.276,27.221
2013/01/02 03:00:00,3.015,0.822,0.195,28.765
2013/01/02 04:00:00,2.754,0.74,0.176,29.631
2013/01/02 05:00:00,2.273,0.568,0.163,29.635
2013/01/02 06:00:00,1.628,0.36,0.145,28.828
2013/01/02 07:00:00,0.881,0.152,0.12,27.298
2013/01/02 08:00:00,0.221,0,0.079,25.178
2013/01/02 09:00:00,0.011,0,0.011,22.545
2013/01/02 10:00:00,0,0,0,20.545
2013/01/02 11:00:00,0,0,0,19.128
2013/01/02 12:00:00,0,0,0,17.976
2013/01/02 13:00:00,0,0,0,17.084
2013/01/02 14:00:00,0,0,0,16.347
2013/01/02 15:00:00,0,0,0,15.842
2013/01/02 16:00:00,0,0,0,15.497
2013/01/02 17:00:00,0,0,0,15.237
2013/01/02 18:00:00,0,0,0,15.066
2013/01/02 19:00:00,0.043,0,0.023,15.752
2013/01/02 20:00:00,0.325,0.017,0.09,18.539
2013/01/02 21:00:00,1.079,0.198,0.124,22.333
2013/01/02 22:00:00,1.799,0.406,0.151,27.114
2013/01/02 23:00:00,2.365,0.597,0.172,30.465
2013/01/03 00:00:00,2.748,0.746,0.186,33.016
2013/01/03 01:00:00,2.954,0.837,0.196,34.945
2013/01/03 02:00:00,2.994,0.861,0.199,36.365
2013/01/03 03:00:00,2.871,0.817,0.196,37.443
2013/01/03 04:00:00,2.587,0.708,0.187,38.03
2013/01/03 05:00:00,2.139,0.546,0.171,38.14
2013/01/03 06:00:00,1.538,0.35,0.15,37.766
2013/01/03 07:00:00,0.835,0.149,0.121,36.865
2013/01/03 08:00:00,0.211,0,0.08,35.143
2013/01/03 09:00:00,0.01,0,0.011,31.061
2013/01/03 10:00:00,0,0,0,29.051
2013/01/03 11:00:00,0,0,0,27.695
2013/01/03 12:00:00,0,0,0,26.426
2013/01/03 13:00:00,0,0,0,25.315
2013/01/03 14:00:00,0,0,0,24.525
2013/01/03 15:00:00,0,0,0,23.816
2013/01/03 16:00:00,0,0,0,23.242
