time,electricity,irradiance_direct,irradiance_diffuse,temperature
2019/01/01 00:00:00,0,0,0,7.279
2019/01/01 01:00:00,0,0,0,7.465
2019/01/01 02:00:00,0,0,0,7.563
2019/01/01 03:00:00,0,0,0,7.657
2019/01/01 04:00:00,0,0,0,7.682
2019/01/01 05:00:00,0,0,0,7.488
2019/01/01 06:00:00,0,0,0,6.853
2019/01/01 07:00:00,0,0,0,5.982
2019/01/01 08:00:00,0.1,0.012,0.006,5.351
2019/01/01 09:00:00,1.592,0.112,0.042,5.829
2019/01/01 10:00:00,3.214,0.234,0.063,6.125
2019/01/01 11:00:00,5.162,0.421,0.06,6.535
2019/01/01 12:00:00,5.26,0.433,0.059,6.902
2019/01/01 13:00:00,4.424,0.355,0.055,6.823
2019/01/01 14:00:00,2.635,0.201,0.044,6.024
2019/01/01 15:00:00,0.498,0.045,0.012,3.735
2019/01/01 16:00:00,0,0,0,2.357
2019/01/01 17:00:00,0,0,0,1.756
2019/01/01 18:00:00,0,0,0,1.19
2019/01/01 19:00:00,0,0,0,0.752
2019/01/01 20:00:00,0,0,0,0.171
2019/01/01 21:00:00,0,0,0,-0.372
2019/01/01 22:00:00,0,0,0,-0.842
2019/01/01 23:00:00,0,0,0,-1.188
2019/01/02 00:00:00,0,0,0,-1.312
2019/01/02 01:00:00,0,0,0,-1.193
2019/01/02 02:00:00,0,0,0,-1.051
2019/01/02 03:00:00,0,0,0,-0.914
2019/01/02 04:00:00,0,0,0,-0.877
2019/01/02 05:00:00,0,0,0,-0.776
2019/01/02 06:00:00,0,0,0,-0.734
2019/01/02 07:00:00,0,0,0,-0.717
2019/01/02 08:00:00,0.073,0.009,0.006,-0.554
2019/01/02 09:00:00,1.171,0.07,0.045,0.987
2019/01/02 10:00:00,2.286,0.136,0.075,2.266
2019/01/02 11:00:00,2.864,0.171,0.091,3.089
2019/01/02 12:00:00,2.695,0.155,0.093,3.994
2019/01/02 13:00:00,1.783,0.089,0.08,4.151
2019/01/02 14:00:00,0.837,0.038,0.049,3.51
2019/01/02 15:00:00,0.099,0.008,0.01,2.329
2019/01/02 16:00:00,0,0,0,1.637
2019/01/02 17:00:00,0,0,0,1.334
2019/01/02 18:00:00,0,0,0,1.22
2019/01/02 19:00:00,0,0,0,1.3
2019/01/02 20:00:00,0,0,0,1.215
2019/01/02 21:00:00,0,0,0,0.959
2019/01/02 22:00:00,0,0,0,0.549
2019/01/02 23:00:00,0,0,0,0.188
2019/01/03 00:00:00,0,0,0,-0.225
2019/01/03 01:00:00,0,0,0,-0.679
2019/01/03 02:00:00,0,0,0,-0.863
2019/01/03 03:00:00,0,0,0,-0.977
2019/01/03 04:00:00,0,0,0,-1.151
2019/01/03 05:00:00,0,0,0,-1.222
2019/01/03 06:00:00,0,0,0,-1.195
2019/01/03 07:00:00,0,0,0,-0.999
2019/01/03 08:00:00,0.176,0.019,0.007,-0.743
2019/01/03 09:00:00,2.392,0.177,0.04,-0.128
2019/01/03 10:00:00,4.324,0.335,0.054,0.788
2019/01/03 11:00:00,5.267,0.42,0.059,1.647
2019/01/03 12:00:00,5.258,0.42,0.06,2.501
2019/01/03 13:00:00,4.434,0.346,0.057,2.425
2019/01/03 14:00:00,2.681,0.199,0.045,1.637
2019/01/03 15:00:00,0.604,0.053,0.013,0.617
2019/01/03 16:00:00,0,0,0,-0.227
2019/01/03 17:00:00,0,0,0,-0.533
2019/01/03 18:00:00,0,0,0,-0.895
2019/01/03 19:00:00,0,0,0,-1.348
2019/01/03 20:00:00,0,0,0,-1.945
2019/01/03 21:00:00,0,0,0,-2.268
2019/01/03 22:00:00,0,0,0,-2.474
2019/01/03 23:00:00,0,0,0,-2.903
2019/01/04 00:00:00,0,0,0,-3.02
2019/01/04 01:00:00,0,0,0,-3.04
2019/01/04 02:00:00,0,0,0,-3.06
2019/01/04 03:00:00,0,0,0,-3.062
2019/01/04 04:00:00,0,0,0,-3.049
2019/01/04 05:00:00,0,0,0,-3.051
2019/01/04 06:00:00,0,0,0,-2.97
2019/01/04 07:00:00,0,0,0,-2.772
2019/01/04 08:00:00,0.095,0.01,0.007,-2.263
2019/01/04 09:00:00,0.763,0.036,0.043,-0.755
2019/01/04 10:00:00,1.298,0.052,0.073,0.244
2019/01/04 11:00:00,1.683,0.068,0.091,1.094
2019/01/04 12:00:00,1.915,0.084,0.094,1.836
2019/01/04 13:00:00,2.075,0.11,0.083,2.215
2019/01/04 14:00:00,1.366,0.077,0.055,1.794
2019/01/04 15:00:00,0.194,0.016,0.012,0.51
2019/01/04 16:00:00,0,0,0,0.052
2019/01/04 17:00:00,0,0,0,0.135
2019/01/04 18:00:00,0,0,0,0.197
2019/01/04 19:00:00,0,0,0,0.24
2019/01/04 20:00:00,0,0,0,0.239
2019/01/04 21:00:00,0,0,0,0.22
2019/01/04 22:00:00,0,0,0,0.076
2019/01/04 23:00:00,0,0,0,-0.233
2019/01/05 00:00:00,0,0,0,-0.357
2019/01/05 01:00:00,0,0,0,-0.462
2019/01/05 02:00:00,0,0,0,-0.519
2019/01/05 03:00:00,0,0,0,-0.499
2019/01/05 04:00:00,0,0,0,-0.337
2019/01/05 05:00:00,0,0,0,-0.147
2019/01/05 06:00:00,0,0,0,0.038
2019/01/05 07:00:00,0,0,0,0.208
2019/01/05 08:00:00,0.007,0.002,0.005,0.353
2019/01/05 09:00:00,0.306,0.008,0.031,1.107
2019/01/05 10:00:00,0.886,0.024,0.067,2.151
2019/01/05 11:00:00,1.251,0.036,0.087,3.087
2019/01/05 12:00:00,1.352,0.041,0.091,3.708
2019/01/05 13:00:00,1.062,0.031,0.076,3.787
2019/01/05 14:00:00,0.47,0.012,0.042,3.04
2019/01/05 15:00:00,0.039,0.003,0.008,1.98
2019/01/05 16:00:00,0,0,0,1.707
2019/01/05 17:00:00,0,0,0,1.673
2019/01/05 18:00:00,0,0,0,1.73
2019/01/05 19:00:00,0,0,0,1.881
2019/01/05 20:00:00,0,0,0,2.048
2019/01/05 21:00:00,0,0,0,2.135
2019/01/05 22:00:00,0,0,0,2.191
2019/01/05 23:00:00,0,0,0,2.045
2019/01/06 00:00:00,0,0,0,1.978
2019/01/06 01:00:00,0,0,0,1.943
2019/01/06 02:00:00,0,0,0,1.812
2019/01/06 03:00:00,0,0,0,1.69
2019/01/06 04:00:00,0,0,0,1.81
2019/01/06 05:00:00,0,0,0,2.205
2019/01/06 06:00:00,0,0,0,2.961
2019/01/06 07:00:00,0,0,0,3.389
2019/01/06 08:00:00,0,0,0.002,3.622
2019/01/06 09:00:00,0.105,0.002,0.017,4.232
2019/01/06 10:00:00,0.38,0.005,0.042,4.888
2019/01/06 11:00:00,0.733,0.012,0.067,5.581
2019/01/06 12:00:00,1.122,0.027,0.087,6.189
2019/01/06 13:00:00,1.005,0.027,0.076,6.399
2019/01/06 14:00:00,0.538,0.015,0.046,6.018
2019/01/06 15:00:00,0.048,0.003,0.009,5.003
2019/01/06 16:00:00,0,0,0,4.782
2019/01/06 17:00:00,0,0,0,4.982
2019/01/06 18:00:00,0,0,0,4.9
2019/01/06 19:00:00,0,0,0,4.774
2019/01/06 20:00:00,0,0,0,4.629
2019/01/06 21:00:00,0,0,0,4.44
2019/01/06 22:00:00,0,0,0,4.339
2019/01/06 23:00:00,0,0,0,4.377
2019/01/07 00:00:00,0,0,0,4.313
2019/01/07 01:00:00,0,0,0,4.253
2019/01/07 02:00:00,0,0,0,4.435
2019/01/07 03:00:00,0,0,0,4.603
2019/01/07 04:00:00,0,0,0,4.64
2019/01/07 05:00:00,0,0,0,4.643
2019/01/07 06:00:00,0,0,0,4.6
2019/01/07 07:00:00,0,0,0,4.667
2019/01/07 08:00:00,0,0.001,0.003,5.312
2019/01/07 09:00:00,0.114,0.002,0.018,6.229
2019/01/07 10:00:00,0.431,0.006,0.046,7.142
2019/01/07 11:00:00,1.057,0.023,0.085,8.19
2019/01/07 12:00:00,1.228,0.03,0.094,8.786
2019/01/07 13:00:00,0.363,0.004,0.042,8.897
2019/01/07 14:00:00,0.052,0.001,0.012,8.772
2019/01/07 15:00:00,0,0,0.003,8.641
2019/01/07 16:00:00,0,0,0,8.541
2019/01/07 17:00:00,0,0,0,8.038
2019/01/07 18:00:00,0,0,0,7.031
2019/01/07 19:00:00,0,0,0,6.253
2019/01/07 20:00:00,0,0,0,5.882
2019/01/07 21:00:00,0,0,0,5.623
2019/01/07 22:00:00,0,0,0,5.402
2019/01/07 23:00:00,0,0,0,5.334
2019/01/08 00:00:00,0,0,0,5.325
2019/01/08 01:00:00,0,0,0,5.505
2019/01/08 02:00:00,0,0,0,5.665
2019/01/08 03:00:00,0,0,0,5.667
2019/01/08 04:00:00,0,0,0,5.593
2019/01/08 05:00:00,0,0,0,5.427
2019/01/08 06:00:00,0,0,0,5.219
2019/01/08 07:00:00,0,0,0,4.777
2019/01/08 08:00:00,0.031,0.004,0.006,4.432
2019/01/08 09:00:00,2.042,0.145,0.047,4.508
2019/01/08 10:00:00,4.347,0.343,0.057,5.168
2019/01/08 11:00:00,5.377,0.441,0.06,5.973
2019/01/08 12:00:00,5.394,0.443,0.061,6.493
2019/01/08 13:00:00,4.608,0.37,0.057,6.545
2019/01/08 14:00:00,2.86,0.219,0.047,5.938
2019/01/08 15:00:00,0.655,0.056,0.016,4.41
2019/01/08 16:00:00,0,0,0,2.79
2019/01/08 17:00:00,0,0,0,2.383
2019/01/08 18:00:00,0,0,0,2.014
2019/01/08 19:00:00,0,0,0,1.879
2019/01/08 20:00:00,0,0,0,2.009
2019/01/08 21:00:00,0,0,0,1.83
2019/01/08 22:00:00,0,0,0,1.591
2019/01/08 23:00:00,0,0,0,1.3
2019/01/09 00:00:00,0,0,0,1.221
2019/01/09 01:00:00,0,0,0,0.705
2019/01/09 02:00:00,0,0,0,0.503
2019/01/09 03:00:00,0,0,0,0.027
2019/01/09 04:00:00,0,0,0,-0.273
2019/01/09 05:00:00,0,0,0,-0.441
2019/01/09 06:00:00,0,0,0,-0.519
2019/01/09 07:00:00,0,0,0,-0.514
2019/01/09 08:00:00,0.11,0.011,0.009,-0.343
2019/01/09 09:00:00,1.298,0.077,0.049,0.741
2019/01/09 10:00:00,3.088,0.206,0.075,1.955
2019/01/09 11:00:00,3.759,0.256,0.086,3.104
2019/01/09 12:00:00,3.593,0.239,0.088,3.748
2019/01/09 13:00:00,3.306,0.226,0.077,3.877
2019/01/09 14:00:00,2.062,0.137,0.055,3.405
2019/01/09 15:00:00,0.423,0.033,0.017,1.697
2019/01/09 16:00:00,0,0,0,0.325
2019/01/09 17:00:00,0,0,0,-0.163
2019/01/09 18:00:00,0,0,0,-0.689
2019/01/09 19:00:00,0,0,0,-0.945
2019/01/09 20:00:00,0,0,0,-0.494
2019/01/09 21:00:00,0,0,0,-0.604
2019/01/09 22:00:00,0,0,0,-1.168
2019/01/09 23:00:00,0,0,0,-1.548
2019/01/10 00:00:00,0,0,0,-1.288
2019/01/10 01:00:00,0,0,0,-0.829
2019/01/10 02:00:00,0,0,0,-0.753
2019/01/10 03:00:00,0,0,0,-0.649
2019/01/10 04:00:00,0,0,0,-0.352
2019/01/10 05:00:00,0,0,0,-0.014
2019/01/10 06:00:00,0,0,0,0.47
2019/01/10 07:00:00,0,0,0,1.198
2019/01/10 08:00:00,0,0,0.002,1.86
2019/01/10 09:00:00,0.041,0.001,0.011,2.574
2019/01/10 10:00:00,0.153,0.001,0.023,3.315
2019/01/10 11:00:00,0.223,0.001,0.03,3.93
2019/01/10 12:00:00,0.41,0.003,0.046,4.44
2019/01/10 13:00:00,0.433,0.004,0.048,4.8
2019/01/10 14:00:00,0.239,0.003,0.03,4.915
2019/01/10 15:00:00,0.009,0.001,0.006,4.773
2019/01/10 16:00:00,0,0,0,4.781
2019/01/10 17:00:00,0,0,0,4.914
2019/01/10 18:00:00,0,0,0,4.723
2019/01/10 19:00:00,0,0,0,4.253
2019/01/10 20:00:00,0,0,0,3.389
2019/01/10 21:00:00,0,0,0,3.294
2019/01/10 22:00:00,0,0,0,3.132
2019/01/10 23:00:00,0,0,0,3.006
2019/01/11 00:00:00,0,0,0,2.867
2019/01/11 01:00:00,0,0,0,2.644
2019/01/11 02:00:00,0,0,0,2.507
2019/01/11 03:00:00,0,0,0,2.452
2019/01/11 04:00:00,0,0,0,2.408
2019/01/11 05:00:00,0,0,0,2.446
2019/01/11 06:00:00,0,0,0,2.511
2019/01/11 07:00:00,0,0,0,2.495
2019/01/11 08:00:00,0,0.001,0.004,2.632
2019/01/11 09:00:00,0.163,0.002,0.023,3.203
2019/01/11 10:00:00,0.507,0.007,0.051,3.867
2019/01/11 11:00:00,0.668,0.008,0.064,4.488
2019/01/11 12:00:00,0.744,0.01,0.07,5.031
2019/01/11 13:00:00,0.703,0.011,0.065,5.408
2019/01/11 14:00:00,0.364,0.006,0.039,5.443
2019/01/11 15:00:00,0.048,0.002,0.01,5.049
2019/01/11 16:00:00,0,0,0,4.693
2019/01/11 17:00:00,0,0,0,4.649
2019/01/11 18:00:00,0,0,0,4.539
2019/01/11 19:00:00,0,0,0,3.925
2019/01/11 20:00:00,0,0,0,3.858
2019/01/11 21:00:00,0,0,0,4.313
2019/01/11 22:00:00,0,0,0,4.635
2019/01/11 23:00:00,0,0,0,4.634
2019/01/12 00:00:00,0,0,0,5.053
2019/01/12 01:00:00,0,0,0,5.501
2019/01/12 02:00:00,0,0,0,5.791
2019/01/12 03:00:00,0,0,0,6.223
2019/01/12 04:00:00,0,0,0,6.816
2019/01/12 05:00:00,0,0,0,7.219
2019/01/12 06:00:00,0,0,0,7.359
2019/01/12 07:00:00,0,0,0,7.07
2019/01/12 08:00:00,0,0,0.002,6.738
2019/01/12 09:00:00,0.086,0.001,0.016,6.688
2019/01/12 10:00:00,0.302,0.003,0.037,6.832
2019/01/12 11:00:00,0.552,0.005,0.058,7.025
2019/01/12 12:00:00,0.662,0.007,0.066,7.11
2019/01/12 13:00:00,0.503,0.005,0.053,7.019
2019/01/12 14:00:00,0.251,0.003,0.032,6.885
2019/01/12 15:00:00,0.021,0.001,0.008,6.779
2019/01/12 16:00:00,0,0,0,6.97
2019/01/12 17:00:00,0,0,0,7.455
2019/01/12 18:00:00,0,0,0,7.852
2019/01/12 19:00:00,0,0,0,8.052
2019/01/12 20:00:00,0,0,0,8.03
2019/01/12 21:00:00,0,0,0,8.043
2019/01/12 22:00:00,0,0,0,8.058
2019/01/12 23:00:00,0,0,0,8.023
2019/01/13 00:00:00,0,0,0,7.931
2019/01/13 01:00:00,0,0,0,7.869
2019/01/13 02:00:00,0,0,0,7.744
2019/01/13 03:00:00,0,0,0,7.598
2019/01/13 04:00:00,0,0,0,7.487
2019/01/13 05:00:00,0,0,0,7.373
2019/01/13 06:00:00,0,0,0,7.317
2019/01/13 07:00:00,0,0,0,7.302
2019/01/13 08:00:00,0.021,0.002,0.007,7.298
2019/01/13 09:00:00,0.484,0.013,0.044,7.518
2019/01/13 10:00:00,0.835,0.018,0.071,7.976
2019/01/13 11:00:00,0.804,0.012,0.074,8.539
2019/01/13 12:00:00,0.57,0.006,0.059,8.828
2019/01/13 13:00:00,0.535,0.007,0.055,8.711
2019/01/13 14:00:00,0.421,0.008,0.043,8.2
2019/01/13 15:00:00,0.098,0.004,0.015,7.54
2019/01/13 16:00:00,0,0,0,6.948
2019/01/13 17:00:00,0,0,0,6.426
2019/01/13 18:00:00,0,0,0,5.909
2019/01/13 19:00:00,0,0,0,5.59
2019/01/13 20:00:00,0,0,0,5.487
2019/01/13 21:00:00,0,0,0,5.513
2019/01/13 22:00:00,0,0,0,5.592
2019/01/13 23:00:00,0,0,0,5.678
2019/01/14 00:00:00,0,0,0,5.806
2019/01/14 01:00:00,0,0,0,5.882
2019/01/14 02:00:00,0,0,0,5.908
2019/01/14 03:00:00,0,0,0,5.785
2019/01/14 04:00:00,0,0,0,5.573
2019/01/14 05:00:00,0,0,0,5.363
2019/01/14 06:00:00,0,0,0,5.121
2019/01/14 07:00:00,0,0,0,4.891
2019/01/14 08:00:00,0.024,0.002,0.007,4.671
2019/01/14 09:00:00,0.355,0.008,0.037,5.057
2019/01/14 10:00:00,0.889,0.02,0.072,5.598
2019/01/14 11:00:00,1.322,0.035,0.096,6.039
2019/01/14 12:00:00,1.235,0.029,0.094,6.226
2019/01/14 13:00:00,0.827,0.016,0.071,6.181
2019/01/14 14:00:00,0.459,0.009,0.045,5.898
2019/01/14 15:00:00,0.111,0.004,0.015,4.865
2019/01/14 16:00:00,0,0,0,3.857
2019/01/14 17:00:00,0,0,0,3.671
2019/01/14 18:00:00,0,0,0,3.54
2019/01/14 19:00:00,0,0,0,3.453
2019/01/14 20:00:00,0,0,0,3.482
2019/01/14 21:00:00,0,0,0,3.64
2019/01/14 22:00:00,0,0,0,3.777
2019/01/14 23:00:00,0,0,0,4.019
2019/01/15 00:00:00,0,0,0,4.368
2019/01/15 01:00:00,0,0,0,4.804
2019/01/15 02:00:00,0,0,0,5.141
2019/01/15 03:00:00,0,0,0,5.504
2019/01/15 04:00:00,0,0,0,5.621
2019/01/15 05:00:00,0,0,0,5.667
2019/01/15 06:00:00,0,0,0,5.703
2019/01/15 07:00:00,0,0,0,5.507
2019/01/15 08:00:00,0.199,0.016,0.013,5.274
2019/01/15 09:00:00,1.03,0.05,0.055,5.829
2019/01/15 10:00:00,1.724,0.08,0.086,6.602
2019/01/15 11:00:00,3.238,0.198,0.103,7.454
2019/01/15 12:00:00,3.576,0.232,0.101,8.052
2019/01/15 13:00:00,2.678,0.159,0.092,8.137
2019/01/15 14:00:00,1.287,0.063,0.065,7.736
2019/01/15 15:00:00,0.084,0.004,0.013,7.021
