time,electricity,temperature
2019/01/01 00:00:00,0,7.279
2019/01/01 01:00:00,0,7.465
2019/01/01 02:00:00,0,7.563
2019/01/01 03:00:00,0,7.657
2019/01/01 04:00:00,0,7.682
2019/01/01 05:00:00,0,7.488
2019/01/01 06:00:00,0,6.853
2019/01/01 07:00:00,0,5.982
2019/01/01 08:00:00,0.05,5.351
2019/01/01 09:00:00,0.796,5.829
2019/01/01 10:00:00,1.607,6.125
2019/01/01 11:00:00,2.581,6.535
2019/01/01 12:00:00,2.63,6.902
2019/01/01 13:00:00,2.212,6.823
2019/01/01 14:00:00,1.318,6.024
2019/01/01 15:00:00,0.249,3.735
2019/01/01 16:00:00,0,2.357
2019/01/01 17:00:00,0,1.756
2019/01/01 18:00:00,0,1.19
2019/01/01 19:00:00,0,0.752
2019/01/01 20:00:00,0,0.171
2019/01/01 21:00:00,0,-0.372
2019/01/01 22:00:00,0,-0.842
2019/01/01 23:00:00,0,-1.188
2019/01/02 00:00:00,0,-1.312
2019/01/02 01:00:00,0,-1.193
2019/01/02 02:00:00,0,-1.051
2019/01/02 03:00:00,0,-0.914
2019/01/02 04:00:00,0,-0.877
2019/01/02 05:00:00,0,-0.776
2019/01/02 06:00:00,0,-0.734
2019/01/02 07:00:00,0,-0.717
2019/01/02 08:00:00,0.037,-0.554
2019/01/02 09:00:00,0.586,0.987
2019/01/02 10:00:00,1.143,2.266
2019/01/02 11:00:00,1.432,3.089
2019/01/02 12:00:00,1.348,3.994
2019/01/02 13:00:00,0.891,4.151
2019/01/02 14:00:00,0.419,3.51
2019/01/02 15:00:00,0.05,2.329
2019/01/02 16:00:00,0,1.637
2019/01/02 17:00:00,0,1.334
2019/01/02 18:00:00,0,1.22
2019/01/02 19:00:00,0,1.3
2019/01/02 20:00:00,0,1.215
2019/01/02 21:00:00,0,0.959
2019/01/02 22:00:00,0,0.549
2019/01/02 23:00:00,0,0.188
2019/01/03 00:00:00,0,-0.225
2019/01/03 01:00:00,0,-0.679
2019/01/03 02:00:00,0,-0.863
2019/01/03 03:00:00,0,-0.977
2019/01/03 04:00:00,0,-1.151
2019/01/03 05:00:00,0,-1.222
2019/01/03 06:00:00,0,-1.195
2019/01/03 07:00:00,0,-0.999
2019/01/03 08:00:00,0.088,-0.743
2019/01/03 09:00:00,1.196,-0.128
2019/01/03 10:00:00,2.162,0.788
2019/01/03 11:00:00,2.633,1.647
2019/01/03 12:00:00,2.629,2.501
2019/01/03 13:00:00,2.217,2.425
2019/01/03 14:00:00,1.34,1.637
2019/01/03 15:00:00,0.302,0.617
2019/01/03 16:00:00,0,-0.227
2019/01/03 17:00:00,0,-0.533
2019/01/03 18:00:00,0,-0.895
2019/01/03 19:00:00,0,-1.348
2019/01/03 20:00:00,0,-1.945
2019/01/03 21:00:00,0,-2.268
2019/01/03 22:00:00,0,-2.474
2019/01/03 23:00:00,0,-2.903
2019/01/04 00:00:00,0,-3.02
2019/01/04 01:00:00,0,-3.04
2019/01/04 02:00:00,0,-3.06
2019/01/04 03:00:00,0,-3.062
2019/01/04 04:00:00,0,-3.049
2019/01/04 05:00:00,0,-3.051
2019/01/04 06:00:00,0,-2.97
2019/01/04 07:00:00,0,-2.772
2019/01/04 08:00:00,0.048,-2.263
2019/01/04 09:00:00,0.382,-0.755
2019/01/04 10:00:00,0.649,0.244
2019/01/04 11:00:00,0.842,1.094
2019/01/04 12:00:00,0.957,1.836
2019/01/04 13:00:00,1.038,2.215
2019/01/04 14:00:00,0.683,1.794
2019/01/04 15:00:00,0.097,0.51
2019/01/04 16:00:00,0,0.052
2019/01/04 17:00:00,0,0.135
2019/01/04 18:00:00,0,0.197
2019/01/04 19:00:00,0,0.24
2019/01/04 20:00:00,0,0.239
2019/01/04 21:00:00,0,0.22
2019/01/04 22:00:00,0,0.076
2019/01/04 23:00:00,0,-0.233
2019/01/05 00:00:00,0,-0.357
2019/01/05 01:00:00,0,-0.462
2019/01/05 02:00:00,0,-0.519
2019/01/05 03:00:00,0,-0.499
2019/01/05 04:00:00,0,-0.337
2019/01/05 05:00:00,0,-0.147
2019/01/05 06:00:00,0,0.038
2019/01/05 07:00:00,0,0.208
2019/01/05 08:00:00,0.003,0.353
2019/01/05 09:00:00,0.153,1.107
2019/01/05 10:00:00,0.443,2.151
2019/01/05 11:00:00,0.626,3.087
2019/01/05 12:00:00,0.676,3.708
2019/01/05 13:00:00,0.531,3.787
2019/01/05 14:00:00,0.235,3.04
2019/01/05 15:00:00,0.019,1.98
2019/01/05 16:00:00,0,1.707
2019/01/05 17:00:00,0,1.673
2019/01/05 18:00:00,0,1.73
2019/01/05 19:00:00,0,1.881
2019/01/05 20:00:00,0,2.048
2019/01/05 21:00:00,0,2.135
2019/01/05 22:00:00,0,2.191
2019/01/05 23:00:00,0,2.045
2019/01/06 00:00:00,0,1.978
